model,siren_class,snr_bin,snr_bin_left,snr_bin_right,snr_bin_center,group_count,seg_precision_mean,seg_precision_std,seg_precision_valid_n,seg_precision_nan_n,seg_f1_mean,seg_f1_std,seg_f1_valid_n,seg_f1_nan_n,seg_balanced_accuracy_mean,seg_balanced_accuracy_std,seg_balanced_accuracy_valid_n,seg_balanced_accuracy_nan_n
CLAP unified EV,piercer,"[-30.0, -24.0)",-30.0,-24.0,-27.0,20,0.8983516483516484,0.2788788573182473,13,7,0.11384963612198139,0.0709820218949793,13,7,0.5129025350685412,0.023365729729618666,20,0
CLAP unified EV,piercer,"[-24.0, -18.0)",-24.0,-18.0,-21.0,25,0.9318181818181819,0.2495174406089564,16,9,0.13239429926931862,0.08478920419976063,16,9,0.5213848902514377,0.025781415571996598,25,0
CLAP unified EV,piercer,"[-18.0, -12.0)",-18.0,-12.0,-15.0,27,0.9461050724637682,0.15852743218409682,24,3,0.2855372514948633,0.1818021068829862,24,3,0.5723761871519911,0.07428810431362816,27,0
CLAP unified EV,piercer,"[-12.0, -6.0)",-12.0,-6.0,-9.0,21,0.9842857142857143,0.05644213218610974,21,0,0.36712540552059775,0.26583043314883126,21,0,0.6253235894458383,0.10839466248080679,21,0
CLAP unified EV,piercer,"[-6.0, 0.0)",-6.0,0.0,-3.0,11,0.9943181818181818,0.018844459036110227,11,0,0.5554151110405967,0.1894774593270586,11,0,0.6993433475447289,0.09679639586920007,11,0
CLAP unified EV,piercer,"[0.0, 6.0)",0.0,6.0,3.0,3,1.0,0.0,3,0,0.23396611553378235,0.15839821612408697,3,0,0.5693448110951698,0.05197840033684801,3,0
CLAP unified EV,piercer,"[6.0, 12.0)",6.0,12.0,9.0,3,0.9937106918238993,0.0108934013054647,3,0,0.9158955627705628,0.04896546882231483,3,0,0.9174942787055261,0.03622637630891443,3,0
CLAP unified EV,piercer,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
EPANNs finetuned AS-EV v2,piercer,"[-54.0, -48.0)",-54.0,-48.0,-51.0,0,,,0,0,,,0,0,,,0,0
EPANNs finetuned AS-EV v2,piercer,"[-48.0, -42.0)",-48.0,-42.0,-45.0,6,0.721579648210083,0.3463985399573648,6,0,0.13615473700301114,0.12520387435108252,6,0,0.45260251368259447,0.15426798779372916,6,0
EPANNs finetuned AS-EV v2,piercer,"[-42.0, -36.0)",-42.0,-36.0,-39.0,7,0.7321428571428571,0.38479277044985677,7,0,0.08294853835228508,0.07709956199056883,7,0,0.5081442449273816,0.03398120482059978,7,0
EPANNs finetuned AS-EV v2,piercer,"[-36.0, -30.0)",-36.0,-30.0,-33.0,20,0.8191069876029159,0.19054169580484154,18,2,0.20559378011368287,0.12149964562025056,18,2,0.5015841010800102,0.06885764345720508,20,0
EPANNs finetuned AS-EV v2,piercer,"[-30.0, -24.0)",-30.0,-24.0,-27.0,20,0.8675664601884113,0.17659468550142307,20,0,0.2513553822112515,0.11755791497709385,20,0,0.5182978113066941,0.06322821545971365,20,0
EPANNs finetuned AS-EV v2,piercer,"[-24.0, -18.0)",-24.0,-18.0,-21.0,25,0.8633964393993807,0.21669240322385813,25,0,0.27887953816717426,0.17410964683049127,25,0,0.5532127842047858,0.06712882420606962,25,0
EPANNs finetuned AS-EV v2,piercer,"[-18.0, -12.0)",-18.0,-12.0,-15.0,27,0.8874962326298502,0.2067019303095804,27,0,0.535120593624376,0.19748777186829625,27,0,0.6440843083684555,0.12785287324734163,27,0
EPANNs finetuned AS-EV v2,piercer,"[-12.0, -6.0)",-12.0,-6.0,-9.0,21,0.9514530877094436,0.06413450731919366,21,0,0.7450497464219306,0.1514770960463387,21,0,0.7626568065296764,0.10925053639246012,21,0
EPANNs finetuned AS-EV v2,piercer,"[-6.0, 0.0)",-6.0,0.0,-3.0,11,0.9729414932042161,0.03077777400774208,11,0,0.8755447490554903,0.07728218818671602,11,0,0.8695061570859658,0.08043861263030162,11,0
EPANNs finetuned AS-EV v2,piercer,"[0.0, 6.0)",0.0,6.0,3.0,3,0.9802180685358254,0.02658354223450515,3,0,0.9580600667408231,0.0401025837218832,3,0,0.9524263711612012,0.03541127686029875,3,0
