model,siren_class,snr_bin,snr_bin_left,snr_bin_right,snr_bin_center,group_count,seg_precision_mean,seg_precision_std,seg_precision_valid_n,seg_precision_nan_n,seg_f1_mean,seg_f1_std,seg_f1_valid_n,seg_f1_nan_n,seg_balanced_accuracy_mean,seg_balanced_accuracy_std,seg_balanced_accuracy_valid_n,seg_balanced_accuracy_nan_n
EPANNs finetuned AS-EV v2,two-tone,"[-18.0, -12.0)",-18.0,-12.0,-15.0,22,0.920952088397733,0.10642387278142156,22,0,0.4978018413508449,0.19336332696812072,22,0,0.6361552283287509,0.10549475655562299,22,0
EPANNs finetuned AS-EV v2,two-tone,"[-12.0, -6.0)",-12.0,-6.0,-9.0,12,0.9580079394627049,0.07983691974999363,12,0,0.6530929380096762,0.22711179538870196,12,0,0.7367602298811403,0.14716644780543744,12,0
EPANNs finetuned AS-EV v2,two-tone,"[-6.0, 0.0)",-6.0,0.0,-3.0,16,0.9452812711508048,0.07903533407396218,16,0,0.8588197360564307,0.0910904669816548,16,0,0.8318538579019175,0.11235382866899957,16,0
EPANNs finetuned AS-EV v2,two-tone,"[0.0, 6.0)",0.0,6.0,3.0,3,0.9502543810062182,0.05887989429948176,3,0,0.7700136188133818,0.06332312779303394,3,0,0.7955507548602091,0.046086790537552276,3,0
EPANNs finetuned AS-EV v2,two-tone,"[6.0, 12.0)",6.0,12.0,9.0,0,,,0,0,,,0,0,,,0,0
EPANNs finetuned AS-EV v2,two-tone,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
EPANNs unified EV,two-tone,"[-54.0, -48.0)",-54.0,-48.0,-51.0,1,0.7659574468085106,,1,0,0.48,,1,0,0.4455906148867313,,1,0
EPANNs unified EV,two-tone,"[-48.0, -42.0)",-48.0,-42.0,-45.0,2,0.6491228070175439,0.024810764252159563,2,0,0.19243149195302303,0.08513577948344335,2,0,0.46630184022748,0.049310445527457156,2,0
EPANNs unified EV,two-tone,"[-42.0, -36.0)",-42.0,-36.0,-39.0,10,0.7878930955767538,0.2623523007179174,10,0,0.3121188906795381,0.2110044855191927,10,0,0.5180716085666652,0.05815553321116767,10,0
EPANNs unified EV,two-tone,"[-36.0, -30.0)",-36.0,-30.0,-33.0,15,0.7807922643804998,0.1987081826002144,15,0,0.3257497509128287,0.15482191506952736,15,0,0.4975749026988556,0.07733335112840746,15,0
EPANNs unified EV,two-tone,"[-30.0, -24.0)",-30.0,-24.0,-27.0,29,0.7700561838279912,0.17821305744541932,29,0,0.3068775476304523,0.1436157942666136,29,0,0.5075439857170825,0.056685944673404216,29,0
EPANNs unified EV,two-tone,"[-24.0, -18.0)",-24.0,-18.0,-21.0,33,0.8103486224368297,0.16141683499326204,33,0,0.43237935180491,0.18856883052229473,33,0,0.5215985817483549,0.08731614300660014,33,0
EPANNs unified EV,two-tone,"[-18.0, -12.0)",-18.0,-12.0,-15.0,22,0.811595428109684,0.12885606873550862,22,0,0.6286444570229736,0.1749658378146333,22,0,0.5854660154383035,0.1151525291652071,22,0
EPANNs unified EV,two-tone,"[-12.0, -6.0)",-12.0,-6.0,-9.0,12,0.8557920144074025,0.12956252134093732,12,0,0.6660641287823322,0.1806683442824634,12,0,0.6393540392469582,0.11246677826507555,12,0
EPANNs unified EV,two-tone,"[-6.0, 0.0)",-6.0,0.0,-3.0,16,0.8080936352074977,0.14505854256036582,16,0,0.8056124547693779,0.10486450529597914,16,0,0.6594027635539079,0.0963820889971855,16,0
EPANNs unified EV,two-tone,"[0.0, 6.0)",0.0,6.0,3.0,3,0.7752657988303183,0.17488949761689826,3,0,0.7924583817266745,0.13048160021747468,3,0,0.5629890013950459,0.0636304842222589,3,0
EPANNs unified EV,two-tone,"[6.0, 12.0)",6.0,12.0,9.0,0,,,0,0,,,0,0,,,0,0
EPANNs unified EV,two-tone,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
CLAP unified EV,wail,"[-54.0, -48.0)",-54.0,-48.0,-51.0,0,,,0,0,,,0,0,,,0,0
CLAP unified EV,wail,"[-48.0, -42.0)",-48.0,-42.0,-45.0,2,,,0,2,,,0,2,0.5,0.0,2,0
CLAP unified EV,wail,"[-42.0, -36.0)",-42.0,-36.0,-39.0,11,1.0,0.0,3,8,0.13533362062773824,0.12974655375431635,3,8,0.510387034946058,0.02483362266945385,11,0
CLAP unified EV,wail,"[-36.0, -30.0)",-36.0,-30.0,-33.0,19,0.9,0.31622776601683794,10,9,0.09336798142009697,0.17059400933249097,10,9,0.5135811751274054,0.046927855568027435,19,0
CLAP unified EV,wail,"[-30.0, -24.0)",-30.0,-24.0,-27.0,25,0.7731481481481481,0.3832753105656291,18,7,0.08108308381764436,0.07220557940553694,18,7,0.5049094823404983,0.03154026267462277,25,0
CLAP unified EV,wail,"[-24.0, -18.0)",-24.0,-18.0,-21.0,29,0.9811111111111112,0.09444444444444446,25,4,0.23590257682085494,0.1282442811262433,25,4,0.552349088861897,0.04968811968878061,29,0
CLAP unified EV,wail,"[-18.0, -12.0)",-18.0,-12.0,-15.0,16,0.9751096491228071,0.048218366585021995,14,2,0.3812005763276712,0.18092186479957292,14,2,0.5986202050276118,0.07302414318078564,16,0
CLAP unified EV,wail,"[-12.0, -6.0)",-12.0,-6.0,-9.0,17,0.9844849704587718,0.041653109501660165,17,0,0.5169787093448467,0.2700440337988646,17,0,0.682632025168115,0.13212518118631986,17,0
CLAP unified EV,wail,"[-6.0, 0.0)",-6.0,0.0,-3.0,17,0.9981024667931689,0.007823729839881702,17,0,0.6169368151406565,0.19423039743395246,17,0,0.7354941571868916,0.1070730515350434,17,0
CLAP unified EV,wail,"[0.0, 6.0)",0.0,6.0,3.0,6,0.9871794871794872,0.03140371465106632,6,0,0.7773615140563518,0.20842006152497955,6,0,0.8324444701066755,0.12361186051347865,6,0
CLAP unified EV,wail,"[6.0, 12.0)",6.0,12.0,9.0,1,1.0,,1,0,0.8837209302325582,,1,0,0.8958333333333333,,1,0
CLAP unified EV,wail,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
EPANNs finetuned AS-EV v2,wail,"[-54.0, -48.0)",-54.0,-48.0,-51.0,0,,,0,0,,,0,0,,,0,0
EPANNs finetuned AS-EV v2,wail,"[-48.0, -42.0)",-48.0,-42.0,-45.0,2,0.9615384615384617,0.054392829322042,2,0,0.1177811550151975,0.1364780565512029,2,0,0.5249266862170088,0.02764835899067632,2,0
EPANNs finetuned AS-EV v2,wail,"[-42.0, -36.0)",-42.0,-36.0,-39.0,11,0.8029984051036683,0.26641645961975546,10,1,0.15689591812105647,0.1880664116107629,10,1,0.5202963429461408,0.07743259219628873,11,0
EPANNs finetuned AS-EV v2,wail,"[-36.0, -30.0)",-36.0,-30.0,-33.0,19,0.7620884324009324,0.24582539014603041,16,3,0.1667992962835894,0.13951434518321634,16,3,0.49127361404397085,0.08340038270653265,19,0
EPANNs finetuned AS-EV v2,wail,"[-30.0, -24.0)",-30.0,-24.0,-27.0,25,0.7773504170309445,0.2524689538930215,24,1,0.21556317754846596,0.1333819477333821,24,1,0.5084728485842724,0.07596993294115373,25,0
EPANNs finetuned AS-EV v2,wail,"[-24.0, -18.0)",-24.0,-18.0,-21.0,29,0.9129686010742943,0.11217198636643892,29,0,0.332019148496163,0.14236349998787245,29,0,0.5660667927910448,0.06558932363021007,29,0
EPANNs finetuned AS-EV v2,wail,"[-18.0, -12.0)",-18.0,-12.0,-15.0,16,0.9083938715913614,0.10079511767144565,16,0,0.4752900568221903,0.20837344397723706,16,0,0.6216058405856932,0.10695904936154162,16,0
EPANNs finetuned AS-EV v2,wail,"[-12.0, -6.0)",-12.0,-6.0,-9.0,17,0.9566049567572333,0.04013098177788069,17,0,0.7624687225117714,0.1319065019698524,17,0,0.7751103785648217,0.08615747185364094,17,0
EPANNs finetuned AS-EV v2,wail,"[-6.0, 0.0)",-6.0,0.0,-3.0,17,0.9846249058655817,0.022621373162269313,17,0,0.8924584768714875,0.08830567573431593,17,0,0.8822409867764561,0.08412568820947008,17,0
EPANNs finetuned AS-EV v2,wail,"[0.0, 6.0)",0.0,6.0,3.0,6,0.9725478840184723,0.04495904621614726,6,0,0.9609803708845063,0.02688297631423854,6,0,0.9334856982372788,0.0469697715769089,6,0
EPANNs finetuned AS-EV v2,wail,"[6.0, 12.0)",6.0,12.0,9.0,1,0.991150442477876,,1,0,0.9781659388646288,,1,0,0.9470443349753694,,1,0
EPANNs finetuned AS-EV v2,wail,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
EPANNs unified EV,wail,"[-54.0, -48.0)",-54.0,-48.0,-51.0,0,,,0,0,,,0,0,,,0,0
EPANNs unified EV,wail,"[-48.0, -42.0)",-48.0,-42.0,-45.0,2,0.735,0.021213203435596444,2,0,0.3525423728813558,0.06711521990923162,2,0,0.4953771586836103,0.0059040766594673656,2,0
EPANNs unified EV,wail,"[-42.0, -36.0)",-42.0,-36.0,-39.0,11,0.832211079666438,0.14698784060206993,11,0,0.30764771336848357,0.2179233327813797,11,0,0.5159615124194851,0.08459718240259978,11,0
EPANNs unified EV,wail,"[-36.0, -30.0)",-36.0,-30.0,-33.0,19,0.7305792804653233,0.19310470886526923,19,0,0.3433948025296557,0.1717469145183657,19,0,0.4796395681167775,0.09478532374659827,19,0
EPANNs unified EV,wail,"[-30.0, -24.0)",-30.0,-24.0,-27.0,25,0.7383469369111328,0.1681216665383615,25,0,0.4460809942530263,0.1859177561954216,25,0,0.4924247623332668,0.09353080336987929,25,0
EPANNs unified EV,wail,"[-24.0, -18.0)",-24.0,-18.0,-21.0,29,0.784254939152666,0.1526997187102721,29,0,0.45692802258311355,0.17515747208166046,29,0,0.526759575204088,0.08296692181876636,29,0
EPANNs unified EV,wail,"[-18.0, -12.0)",-18.0,-12.0,-15.0,16,0.7891993493505016,0.15375377055850892,16,0,0.6229223540281754,0.16552002396875234,16,0,0.5538760768151594,0.0994089732614411,16,0
EPANNs unified EV,wail,"[-12.0, -6.0)",-12.0,-6.0,-9.0,17,0.8539020768456367,0.09784053210658594,17,0,0.7370123092581017,0.13952519628577276,17,0,0.6486619014813139,0.08128163231770756,17,0
EPANNs unified EV,wail,"[-6.0, 0.0)",-6.0,0.0,-3.0,17,0.8735893450897486,0.09065983977502722,17,0,0.8212477031940247,0.14543728821753563,17,0,0.6630621842314435,0.1221269548638696,17,0
EPANNs unified EV,wail,"[0.0, 6.0)",0.0,6.0,3.0,6,0.8418331395891002,0.13338538705975445,6,0,0.8880709448942173,0.0914479200633201,6,0,0.6538373676213836,0.10241360220211172,6,0
EPANNs unified EV,wail,"[6.0, 12.0)",6.0,12.0,9.0,1,0.982608695652174,,1,0,0.9783549783549784,,1,0,0.91564039408867,,1,0
EPANNs unified EV,wail,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
CLAP unified EV,yelp,"[-54.0, -48.0)",-54.0,-48.0,-51.0,0,,,0,0,,,0,0,,,0,0
CLAP unified EV,yelp,"[-48.0, -42.0)",-48.0,-42.0,-45.0,5,0.8333333333333333,0.23570226039551587,2,3,0.08410256410256406,0.03191045986893136,2,3,0.4907898864420604,0.030258684240179076,5,0
CLAP unified EV,yelp,"[-42.0, -36.0)",-42.0,-36.0,-39.0,6,1.0,0.0,2,4,0.058202154101077,0.04247327393208341,2,4,0.50503663003663,0.009288260699465619,6,0
CLAP unified EV,yelp,"[-36.0, -30.0)",-36.0,-30.0,-33.0,17,0.7916666666666666,0.40052049468993056,6,11,0.07465411071681817,0.06407615933130488,6,11,0.5031514255400501,0.01657742492932963,17,0
CLAP unified EV,yelp,"[-30.0, -24.0)",-30.0,-24.0,-27.0,22,0.9953703703703702,0.019641855032959663,18,4,0.1751349870914895,0.11631778202194133,18,4,0.5397610703118556,0.036357509242068264,22,0
CLAP unified EV,yelp,"[-24.0, -18.0)",-24.0,-18.0,-21.0,22,0.9682539682539681,0.1454785934906616,21,1,0.3124158074177378,0.16582031350725207,21,1,0.5925583208677028,0.06453887171842143,22,0
CLAP unified EV,yelp,"[-18.0, -12.0)",-18.0,-12.0,-15.0,24,0.9967516241879061,0.011084994009404705,24,0,0.5019471283551963,0.2646116301412303,24,0,0.6865601892407164,0.12571437983975559,24,0
CLAP unified EV,yelp,"[-12.0, -6.0)",-12.0,-6.0,-9.0,21,1.0,0.0,21,0,0.7789869223138566,0.18502294995949325,21,0,0.8354527146964527,0.11517222883346187,21,0
CLAP unified EV,yelp,"[-6.0, 0.0)",-6.0,0.0,-3.0,18,0.9920634920634921,0.02951578909762969,18,0,0.8956400430814383,0.09632661108501432,18,0,0.9024546448286319,0.07568791020224562,18,0
CLAP unified EV,yelp,"[0.0, 6.0)",0.0,6.0,3.0,8,0.9975490196078431,0.006932419423397501,8,0,0.9457143399327037,0.049132586760024716,8,0,0.9474243023378003,0.04219581631842459,8,0
CLAP unified EV,yelp,"[6.0, 12.0)",6.0,12.0,9.0,0,,,0,0,,,0,0,,,0,0
CLAP unified EV,yelp,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
EPANNs finetuned AS-EV v2,yelp,"[-54.0, -48.0)",-54.0,-48.0,-51.0,0,,,0,0,,,0,0,,,0,0
EPANNs finetuned AS-EV v2,yelp,"[-48.0, -42.0)",-48.0,-42.0,-45.0,5,0.8642857142857142,0.23200545384159593,5,0,0.151678020685627,0.08152324165311194,5,0,0.45743507036465364,0.1648040018611545,5,0
EPANNs finetuned AS-EV v2,yelp,"[-42.0, -36.0)",-42.0,-36.0,-39.0,6,0.825,0.35,4,2,0.12020906742152415,0.054968741896738886,4,2,0.5028936722277995,0.05331545402314186,6,0
EPANNs finetuned AS-EV v2,yelp,"[-36.0, -30.0)",-36.0,-30.0,-33.0,17,0.70904952890247,0.3275440317821571,17,0,0.131364140251566,0.08227493514906502,17,0,0.495513861204136,0.049208645634843604,17,0
EPANNs finetuned AS-EV v2,yelp,"[-30.0, -24.0)",-30.0,-24.0,-27.0,22,0.8855570895114047,0.1281690302601079,21,1,0.288784918949644,0.1376909243652136,21,1,0.5418444418021419,0.07167900372979981,22,0
EPANNs finetuned AS-EV v2,yelp,"[-24.0, -18.0)",-24.0,-18.0,-21.0,22,0.9073996879861187,0.1492812215730799,22,0,0.3936922968838063,0.20220084524281962,22,0,0.6023207723878715,0.0867755883209951,22,0
EPANNs finetuned AS-EV v2,yelp,"[-18.0, -12.0)",-18.0,-12.0,-15.0,24,0.9591536023956463,0.052847163000050434,24,0,0.6321833370706517,0.21788811242779715,24,0,0.7189145395212382,0.13374588266975213,24,0
EPANNs finetuned AS-EV v2,yelp,"[-12.0, -6.0)",-12.0,-6.0,-9.0,21,0.9817137740730554,0.03340100866915191,21,0,0.8553967471241738,0.13787755216045364,21,0,0.8616224364356442,0.1079709393818187,21,0
EPANNs finetuned AS-EV v2,yelp,"[-6.0, 0.0)",-6.0,0.0,-3.0,18,0.9831191579890327,0.03856771755112266,18,0,0.9492041755603293,0.037062069324954185,18,0,0.9266320775542288,0.06863003329875973,18,0
EPANNs finetuned AS-EV v2,yelp,"[0.0, 6.0)",0.0,6.0,3.0,8,0.9746884668138702,0.023670894404037118,8,0,0.9533521153974546,0.044303786561970655,8,0,0.9255345655639239,0.051318023367406554,8,0
EPANNs finetuned AS-EV v2,yelp,"[6.0, 12.0)",6.0,12.0,9.0,0,,,0,0,,,0,0,,,0,0
EPANNs finetuned AS-EV v2,yelp,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
EPANNs unified EV,yelp,"[-54.0, -48.0)",-54.0,-48.0,-51.0,0,,,0,0,,,0,0,,,0,0
EPANNs unified EV,yelp,"[-48.0, -42.0)",-48.0,-42.0,-45.0,5,0.8229938271604939,0.1078722880820308,5,0,0.6261096475797562,0.12613675868702323,5,0,0.5440737904931333,0.09539720511207635,5,0
EPANNs unified EV,yelp,"[-42.0, -36.0)",-42.0,-36.0,-39.0,6,0.8301128810538083,0.10355165594576789,6,0,0.4538512647570045,0.0795648081289653,6,0,0.5047145688416206,0.08855158772866768,6,0
EPANNs unified EV,yelp,"[-36.0, -30.0)",-36.0,-30.0,-33.0,17,0.7803414327608984,0.17860597086986585,17,0,0.380521812953058,0.13581863278499925,17,0,0.5205732551976104,0.0723433596232615,17,0
EPANNs unified EV,yelp,"[-30.0, -24.0)",-30.0,-24.0,-27.0,22,0.8271193642129855,0.13270024187928298,22,0,0.45064363345381336,0.18960190641588223,22,0,0.531067369411439,0.0989565400904577,22,0
EPANNs unified EV,yelp,"[-24.0, -18.0)",-24.0,-18.0,-21.0,22,0.8555720407927148,0.13910488485499534,22,0,0.49139209405482265,0.21561232658614737,22,0,0.5971197637204824,0.10596685154290357,22,0
EPANNs unified EV,yelp,"[-18.0, -12.0)",-18.0,-12.0,-15.0,24,0.8738107991182785,0.07945418346220082,24,0,0.7261533652299593,0.1856947958922473,24,0,0.6647128261024424,0.11616989990318008,24,0
EPANNs unified EV,yelp,"[-12.0, -6.0)",-12.0,-6.0,-9.0,21,0.8987377527157165,0.09099157985964153,21,0,0.8576118984871848,0.10704994389331336,21,0,0.7438611192637009,0.12007804929874301,21,0
EPANNs unified EV,yelp,"[-6.0, 0.0)",-6.0,0.0,-3.0,18,0.8725201595835768,0.0992813347611605,18,0,0.9186779164454157,0.05339503274438052,18,0,0.7483564959870309,0.1607771959645621,18,0
EPANNs unified EV,yelp,"[0.0, 6.0)",0.0,6.0,3.0,8,0.8223279533014872,0.15309298847476355,8,0,0.8869542728339708,0.09827522400822447,8,0,0.716326675728337,0.13236277008919367,8,0
EPANNs unified EV,yelp,"[6.0, 12.0)",6.0,12.0,9.0,0,,,0,0,,,0,0,,,0,0
EPANNs unified EV,yelp,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
