segment_id,audio_duration,num_inferences,num_gt_events,num_detected,seg_precision,seg_recall,seg_f1,seg_accuracy,seg_balanced_accuracy,seg_error_rate,seg_deletion_rate,seg_insertion_rate,evt_precision,evt_recall,evt_f1,evt_error_rate,evt_deletion_rate,evt_insertion_rate,throughput,cpu_mean,ram_mean_mb,model,siren_class,snr_avg,snr_min,snr_max
rumbler_electronic_sine_01_6.705_35.833_i0,40.0,130,1,9,1.0,0.1052631578947368,0.1904761904761905,0.2672413793103448,0.5526315789473684,0.8947368421052632,0.8947368421052632,0.0,0.0,0.0,0.0,9.999999999999998,0.9999999999999998,8.999999999999998,0.9803548719487994,35.096068796068806,1147.3910376996314,EPANNs finetuned AS-EV v2,rumbler,-37.916167547051366,-85.0223416312103,-19.296865077254406
two-tone_pneumatic_trapezoid_02_6.460_40.000_i0,40.0,130,1,9,1.0,0.8636363636363636,0.9268292682926828,0.8846153846153846,0.931818181818182,0.1363636363636363,0.1363636363636363,0.0,0.0,0.0,0.0,9.999999999999998,0.9999999999999998,8.999999999999998,0.9803547100522018,35.04447174447174,1154.041068412162,EPANNs finetuned AS-EV v2,two-tone,-0.902425595226595,-68.10706364973127,30.58288824353862
yelp_electronic_trapezoid_07_6.813_40.000_i0,40.0,130,1,4,0.8,0.073394495412844,0.134453781512605,0.2076923076923077,0.4890782000873744,0.944954128440367,0.926605504587156,0.018348623853211,0.0,0.0,0.0,4.999999999999999,0.9999999999999998,3.999999999999999,0.98036143889542,35.23587223587224,1162.658150337838,EPANNs finetuned AS-EV v2,yelp,-34.32119474304364,-83.90964725620633,-16.91403318324364
two-tone_pneumatic_sine_14_9.350_40.000_i0,40.0,130,1,22,1.0,0.64,0.7804878048780487,0.7230769230769231,0.8200000000000001,0.36,0.36,0.0,0.0,0.0,0.0,23.0,0.9999999999999998,22.0,0.980371571631332,35.550614250614274,1167.0279675982802,EPANNs finetuned AS-EV v2,two-tone,-8.71399487289507,-71.95946453135215,6.578678205037268
rumbler_electronic_triangle_11_7.085_33.799_i0,40.0,130,1,0,,0.0,,0.2,0.5,1.0,1.0,0.0,,0.0,,0.9999999999999998,0.9999999999999998,0.0,0.980364839212642,35.555036855036874,1173.870709843366,EPANNs finetuned AS-EV v2,rumbler,-27.305239677376033,-80.55395467197476,-12.909008844857684
hi-lo_electronic_trapezoid_15_4.825_40.000_i0,40.0,130,1,3,0.25,0.008695652173913,0.0168067226890756,0.1,0.4043478260869565,1.0173913043478262,0.991304347826087,0.0260869565217391,0.0,0.0,0.0,3.999999999999999,0.9999999999999998,3.0,0.9803642644184852,35.65233415233416,1177.8271076474202,EPANNs finetuned AS-EV v2,hi-lo,-17.42855772010326,-85.10513489252938,-2.669637019762047
rumbler_electronic_sawtooth_06_4.617_40.000_i0,40.0,130,1,5,0.935483870967742,0.25,0.3945578231292516,0.3153846153846154,0.5535714285714286,0.7672413793103449,0.75,0.0172413793103448,0.0,0.0,0.0,5.999999999999999,0.9999999999999998,4.999999999999999,0.9803674467015216,35.57665847665848,1184.3891277641278,EPANNs finetuned AS-EV v2,rumbler,-10.790448777419586,-72.0577826041172,28.025930277838068
two-tone_pneumatic_trapezoid_15_9.202_40.000_i0,40.0,130,1,16,0.9655172413793104,0.5544554455445545,0.7044025157232705,0.6384615384615384,0.7427449641515875,0.4653465346534653,0.4455445544554455,0.0198019801980198,0.0,0.0,0.0,16.999999999999996,0.9999999999999998,15.999999999999996,0.980360551912988,35.48255528255528,1188.9963720823096,EPANNs finetuned AS-EV v2,two-tone,0.1894057242262513,-76.88617773506944,90.06311296447953
rumbler_electronic_sawtooth_14_6.288_35.379_i0,40.0,130,1,2,1.0,0.0526315789473684,0.1,0.217391304347826,0.5263157894736842,0.9473684210526316,0.9473684210526316,0.0,0.0,0.0,0.0,2.999999999999999,0.9999999999999998,2.0,0.9803682463297482,35.60270270270269,1201.455322865479,EPANNs finetuned AS-EV v2,rumbler,-35.00439910242319,-80.45171171309421,-18.37230399553625
hi-lo_electronic_square_02_9.495_40.000_i0,40.0,130,1,5,1.0,0.07,0.1308411214953271,0.2846153846153846,0.535,0.93,0.93,0.0,0.0,0.0,0.0,5.999999999999999,0.9999999999999998,4.999999999999999,0.9803658554972808,35.557002457002454,1209.982992936118,EPANNs finetuned AS-EV v2,hi-lo,-30.690543005640578,-93.53920932091889,-6.175981370359382
