segment_id,audio_duration,num_inferences,num_gt_events,num_detected,seg_precision,seg_recall,seg_f1,seg_accuracy,seg_balanced_accuracy,seg_error_rate,seg_deletion_rate,seg_insertion_rate,evt_precision,evt_recall,evt_f1,evt_error_rate,evt_deletion_rate,evt_insertion_rate,throughput,cpu_mean,ram_mean_mb
uZuEn8mguGE_10000,10.0,33,1,3,1.0,0.9090909090909091,0.9523809523809523,0.9090909090909091,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,3.999999999999999,0.9999999999999998,2.9999999999999996,0.9318294472678493,36.14112149532709,1355.8173189252336
dIUthrXjhGM_30000,10.0,33,1,5,1.0,0.7272727272727273,0.8421052631578948,0.7272727272727273,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,5.999999999999999,0.9999999999999998,4.999999999999999,0.9318832483621481,35.762616822429905,1361.903731016355
XHD0sLHWEUU_30000,10.0,33,1,1,1.0,0.9090909090909091,0.9523809523809523,0.9696969696969697,0.9545454545454546,0.09090909090909091,0.09090909090909091,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9318582903354714,35.68037383177569,1366.6435455607477
zculW9jrR2g_0,10.0,33,1,1,1.0,0.9696969696969697,0.9846153846153847,0.9696969696969697,0.48484848484848486,0.030303030303030304,0.030303030303030304,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9318663460054543,35.679439252336444,1372.9682754088785
z_sdhRMMvJA_20000,10.0,33,1,1,1.0,0.9696969696969697,0.9846153846153847,0.9696969696969697,0.48484848484848486,0.030303030303030304,0.030303030303030304,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9318731170344616,35.58504672897195,1371.662164135514
m8t6gPBCxr8_20000,10.0,33,1,1,1.0,0.9696969696969697,0.9846153846153847,0.9696969696969697,0.48484848484848486,0.030303030303030304,0.030303030303030304,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9318890340707915,35.665420560747656,1379.6063449182243
Y0RTSvdcDuE_10000,10.0,33,1,1,1.0,0.9696969696969697,0.9846153846153847,0.9696969696969697,0.48484848484848486,0.030303030303030304,0.030303030303030304,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.931882848983325,35.58504672897195,1385.8712762850466
mbjOa_msQDw_50000,10.0,33,1,4,1.0,0.8787878787878788,0.9354838709677419,0.8787878787878788,0.4393939393939394,0.12121212121212122,0.12121212121212122,0.0,0.0,0.0,0.0,4.999999999999999,0.9999999999999998,3.999999999999999,0.9318644495662228,35.48317757009345,1390.3314471378505
mgF-ieQ7rV4_30000,10.0,33,1,3,1.0,0.7575757575757576,0.8620689655172413,0.7575757575757576,0.3787878787878788,0.24242424242424243,0.24242424242424243,0.0,0.3333333333333333,1.0,0.5,1.9999999999999996,0.0,1.9999999999999996,0.9318720876499046,35.676635514018685,1396.6081337616822
8uBHEGhU5nU_10000,10.0,33,1,2,1.0,0.9393939393939394,0.96875,0.9393939393939394,0.4696969696969697,0.06060606060606061,0.06060606060606061,0.0,0.5,1.0,0.6666666666666666,0.9999999999999998,0.0,0.9999999999999998,0.931893376432361,35.78037383177569,1401.6519421728972
