threshold,collar_size_s,adaptive_factor,seg_precision,seg_recall,seg_f1,seg_accuracy,seg_balanced_accuracy,seg_error_rate,seg_std_precision,seg_std_recall,seg_std_f1,evt_precision,evt_recall,evt_f1,evt_error_rate,evt_std_precision,evt_std_recall,evt_std_f1,throughput,cpu_percent,ram_mb
0.5,0.1,0.5,0.9924206349206349,0.8710122841717669,0.9226966461977356,0.8786973615464996,0.48303684384026935,0.13606708090759814,0.030168362079283282,0.12187539387330094,0.08051420581487266,0.40333333333333327,0.54,0.446,2.0899999999999994,0.41645327869202003,0.48826222462934815,0.42718146027186155,0.9327361588422539,35.42365880992066,1454.0698862869624
0.5,0.1,0.75,0.9924206349206349,0.8710122841717669,0.9226966461977356,0.8786973615464996,0.48303684384026935,0.13606708090759814,0.030168362079283282,0.12187539387330094,0.08051420581487266,0.40333333333333327,0.54,0.446,2.0899999999999994,0.41645327869202003,0.48826222462934815,0.42718146027186155,0.9327368952575058,35.45907529679337,1449.5960889700975
0.5,0.1,1.0,0.9924206349206349,0.8710122841717669,0.9226966461977356,0.8786973615464996,0.48303684384026935,0.13606708090759814,0.030168362079283282,0.12187539387330094,0.08051420581487266,0.40333333333333327,0.54,0.446,2.0899999999999994,0.41645327869202003,0.48826222462934815,0.42718146027186155,0.9327367651194333,35.527816831646845,1444.1674896605605
0.5,0.5,0.5,0.9924206349206349,0.8710122841717669,0.9226966461977356,0.8786973615464996,0.48303684384026935,0.13606708090759814,0.030168362079283282,0.12187539387330094,0.08051420581487266,0.4633333333333334,0.62,0.5126666666666666,1.9299999999999995,0.41404508611180657,0.4749736834815167,0.4199412657344675,0.9327429115076405,35.553074903288746,1465.260862907614
0.5,0.5,0.75,0.9924206349206349,0.8710122841717669,0.9226966461977356,0.8786973615464996,0.48303684384026935,0.13606708090759814,0.030168362079283282,0.12187539387330094,0.08051420581487266,0.4633333333333334,0.62,0.5126666666666666,1.9299999999999995,0.41404508611180657,0.4749736834815167,0.4199412657344675,0.9327420069166631,35.39299413280871,1469.6123400399802
0.5,0.5,1.0,0.9924206349206349,0.8710122841717669,0.9226966461977356,0.8786973615464996,0.48303684384026935,0.13606708090759814,0.030168362079283282,0.12187539387330094,0.08051420581487266,0.4633333333333334,0.62,0.5126666666666666,1.9299999999999995,0.41404508611180657,0.4749736834815167,0.4199412657344675,0.9327366678788758,35.45637576619206,1444.6785713456034
0.5,1.0,0.5,0.9924206349206349,0.8710122841717669,0.9226966461977356,0.8786973615464996,0.48303684384026935,0.13606708090759814,0.030168362079283282,0.12187539387330094,0.08051420581487266,0.4833333333333333,0.66,0.5393333333333333,1.8499999999999994,0.40311288741492746,0.463033476111609,0.4075231418105125,0.9327379644925755,35.48309051400488,1464.5722990847407
0.5,1.0,0.75,0.9924206349206349,0.8710122841717669,0.9226966461977356,0.8786973615464996,0.48303684384026935,0.13606708090759814,0.030168362079283282,0.12187539387330094,0.08051420581487266,0.4833333333333333,0.66,0.5393333333333333,1.8499999999999994,0.40311288741492746,0.463033476111609,0.4075231418105125,0.932736207973377,35.49097471050344,1461.5947340529526
0.5,1.0,1.0,0.9924206349206349,0.8710122841717669,0.9226966461977356,0.8786973615464996,0.48303684384026935,0.13606708090759814,0.030168362079283282,0.12187539387330094,0.08051420581487266,0.4833333333333333,0.66,0.5393333333333333,1.8499999999999994,0.40311288741492746,0.463033476111609,0.4075231418105125,0.9327358047562169,35.5183966703662,1452.397336687103
0.5,2.0,0.5,0.9924206349206349,0.8710122841717669,0.9226966461977356,0.8786973615464996,0.48303684384026935,0.13606708090759814,0.030168362079283282,0.12187539387330094,0.08051420581487266,0.564,0.8,0.638,1.5699999999999994,0.3688323919252935,0.4,0.36166344084582897,0.9327392693975993,35.52486811586937,1456.7416477890656
0.5,2.0,0.75,0.9924206349206349,0.8710122841717669,0.9226966461977356,0.8786973615464996,0.48303684384026935,0.13606708090759814,0.030168362079283282,0.12187539387330094,0.08051420581487266,0.564,0.8,0.638,1.5699999999999994,0.3688323919252935,0.4,0.36166344084582897,0.9327396808838276,35.50372217559568,1477.2184948221368
0.5,2.0,1.0,0.9924206349206349,0.8710122841717669,0.9226966461977356,0.8786973615464996,0.48303684384026935,0.13606708090759814,0.030168362079283282,0.12187539387330094,0.08051420581487266,0.564,0.8,0.638,1.5699999999999994,0.3688323919252935,0.4,0.36166344084582897,0.9327361349718868,35.52053291333512,1471.933225131021
0.7,0.1,0.5,0.9946428571428573,0.8457054659899487,0.90742473791569,0.8561800170488919,0.47138343474936034,0.15937389908941632,0.026305214040457565,0.13749544855035004,0.09026649301529707,0.3633333333333333,0.5,0.4046666666666667,2.4199999999999995,0.4050925820105819,0.4898979485566356,0.418994033370405,0.9327380535071732,35.437352449666015,1471.6567706309722
0.7,0.1,0.75,0.9946428571428573,0.8457054659899487,0.90742473791569,0.8561800170488919,0.47138343474936034,0.15937389908941632,0.026305214040457565,0.13749544855035004,0.09026649301529707,0.3633333333333333,0.5,0.4046666666666667,2.4199999999999995,0.4050925820105819,0.4898979485566356,0.418994033370405,0.9327377720962603,35.338200360080236,1459.0599566738013
0.7,0.1,1.0,0.9946428571428573,0.8457054659899487,0.90742473791569,0.8561800170488919,0.47138343474936034,0.15937389908941632,0.026305214040457565,0.13749544855035004,0.09026649301529707,0.3633333333333333,0.5,0.4046666666666667,2.4199999999999995,0.4050925820105819,0.4898979485566356,0.418994033370405,0.9327430138089752,35.4339707935622,1448.204325763078
0.7,0.5,0.5,0.9946428571428573,0.8457054659899487,0.90742473791569,0.8561800170488919,0.47138343474936034,0.15937389908941632,0.026305214040457565,0.13749544855035004,0.09026649301529707,0.41333333333333333,0.56,0.45799999999999996,2.2999999999999994,0.41263381667850085,0.4862098312457287,0.42241685572429516,0.9327391779133591,35.466646535027174,1456.3996959598987
0.7,0.5,0.75,0.9946428571428573,0.8457054659899487,0.90742473791569,0.8561800170488919,0.47138343474936034,0.15937389908941632,0.026305214040457565,0.13749544855035004,0.09026649301529707,0.41333333333333333,0.56,0.45799999999999996,2.2999999999999994,0.41263381667850085,0.4862098312457287,0.42241685572429516,0.9327410254331354,35.455259083518484,1456.987824753385
0.7,0.5,1.0,0.9946428571428573,0.8457054659899487,0.90742473791569,0.8561800170488919,0.47138343474936034,0.15937389908941632,0.026305214040457565,0.13749544855035004,0.09026649301529707,0.41333333333333333,0.56,0.45799999999999996,2.2999999999999994,0.41263381667850085,0.4862098312457287,0.42241685572429516,0.9327391379263168,35.37545300419945,1451.6651242547866
0.7,1.0,0.5,0.9946428571428573,0.8457054659899487,0.90742473791569,0.8561800170488919,0.47138343474936034,0.15937389908941632,0.026305214040457565,0.13749544855035004,0.09026649301529707,0.4233333333333333,0.58,0.4713333333333334,2.2599999999999993,0.4085339643163099,0.4833218389437829,0.41825085508313997,0.9327359752763185,35.37304384520817,1464.998634110401
0.7,1.0,0.75,0.9946428571428573,0.8457054659899487,0.90742473791569,0.8561800170488919,0.47138343474936034,0.15937389908941632,0.026305214040457565,0.13749544855035004,0.09026649301529707,0.4233333333333333,0.58,0.4713333333333334,2.2599999999999993,0.4085339643163099,0.4833218389437829,0.41825085508313997,0.9327368421703255,35.39464436973487,1450.8255689565558
0.7,1.0,1.0,0.9946428571428573,0.8457054659899487,0.90742473791569,0.8561800170488919,0.47138343474936034,0.15937389908941632,0.026305214040457565,0.13749544855035004,0.09026649301529707,0.4233333333333333,0.58,0.4713333333333334,2.2599999999999993,0.4085339643163099,0.4833218389437829,0.41825085508313997,0.9327358509658558,35.441929995911885,1461.8483958028735
0.7,2.0,0.5,0.9946428571428573,0.8457054659899487,0.90742473791569,0.8561800170488919,0.47138343474936034,0.15937389908941632,0.026305214040457565,0.13749544855035004,0.09026649301529707,0.5233333333333333,0.76,0.5943809523809525,1.8999999999999995,0.3815319995317125,0.4270831300812525,0.37866658283030596,0.9327353089107477,35.448653622788655,1457.7568003836288
0.7,2.0,0.75,0.9946428571428573,0.8457054659899487,0.90742473791569,0.8561800170488919,0.47138343474936034,0.15937389908941632,0.026305214040457565,0.13749544855035004,0.09026649301529707,0.5233333333333333,0.76,0.5943809523809525,1.8999999999999995,0.3815319995317125,0.4270831300812525,0.37866658283030596,0.932736112385501,35.270508514621824,1461.2341756687479
0.7,2.0,1.0,0.9946428571428573,0.8457054659899487,0.90742473791569,0.8561800170488919,0.47138343474936034,0.15937389908941632,0.026305214040457565,0.13749544855035004,0.09026649301529707,0.5233333333333333,0.76,0.5943809523809525,1.8999999999999995,0.3815319995317125,0.4270831300812525,0.37866658283030596,0.9327400327596425,35.001676714265784,1462.7415164685524
